koi_disposition,koi_period,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_prad,koi_sma,koi_teq,koi_insol,koi_dor,koi_model_snr,koi_steff,koi_slogg,koi_srad
CONFIRMED,9.488035570,0.1460,2.95750,6.1580e+02,0.022344,3.20796,2.26,0.0853,793.0,93.59,24.810000,35.80,5455.00,4.467,0.9270
CONFIRMED,54.418382700,0.5860,4.50700,8.7480e+02,0.027954,3.02368,2.83,0.2734,443.0,9.11,77.900000,25.80,5455.00,4.467,0.9270
CANDIDATE,19.899139950,0.9690,1.78220,1.0829e+04,0.154046,7.29555,14.60,0.1419,638.0,39.30,53.500000,76.30,5853.00,4.544,0.8680
FALSE POSITIVE,1.736952453,1.2760,2.40641,8.0792e+03,0.387394,0.22080,33.46,0.0267,1395.0,891.96,3.278000,505.60,5805.00,4.564,0.7910
CONFIRMED,2.525591777,0.7010,1.65450,6.0330e+02,0.024064,1.98635,2.75,0.0374,1406.0,926.16,8.750000,40.90,6031.00,4.438,1.0460
CONFIRMED,11.094320540,0.5380,4.59450,1.5175e+03,0.036779,0.67324,3.90,0.0992,835.0,114.81,16.360000,66.50,6046.00,4.486,0.9720
CONFIRMED,4.134435120,0.7620,3.14020,6.8600e+02,0.026133,0.37377,2.77,0.0514,1160.0,427.65,6.960000,40.20,6046.00,4.486,0.9720
CONFIRMED,2.566588970,0.7550,2.42900,2.2650e+02,0.014983,0.48909,1.59,0.0374,1360.0,807.74,5.540000,15.00,6046.00,4.486,0.9720
FALSE POSITIVE,7.361789580,1.1690,5.02200,2.3370e+02,0.183387,0.00485,39.21,0.0820,1342.0,767.22,2.400000,47.70,6227.00,3.986,1.9580
CONFIRMED,16.068646740,0.0520,3.53470,4.9143e+03,0.062161,3.66590,5.76,0.1158,600.0,30.75,36.850000,161.90,5031.00,4.485,0.8480
CONFIRMED,2.470613377,0.8180,1.74319,1.4231e+04,0.123871,1.83538,13.04,0.0354,1339.0,761.46,8.397700,4304.30,5820.00,4.457,0.9640
CONFIRMED,2.204735417,0.2240,3.88864,6.6747e+03,0.075522,0.37936,16.10,0.0376,2048.0,4148.92,4.602000,5945.90,6440.00,4.019,1.9520
CONFIRMED,3.522498429,0.6310,3.19843,9.1457e+03,0.092086,0.65374,14.59,0.0473,1521.0,1264.67,7.541000,1741.50,6225.00,4.169,1.4510
CONFIRMED,3.709214104,0.0510,2.63020,1.3110e+02,0.010424,1.77451,1.16,0.0465,1206.0,500.46,10.888000,50.60,5833.00,4.407,1.0220
FALSE POSITIVE,11.521446064,2.4830,3.63990,1.7984e+04,1.625358,1.27376,150.51,0.0978,753.0,75.88,20.750000,622.10,5795.00,4.554,0.8480
FALSE POSITIVE,19.403937760,0.8040,12.21550,8.9187e+03,0.096729,0.03785,7.18,0.1230,523.0,17.69,9.099000,214.70,5043.00,4.591,0.6800
FALSE POSITIVE,19.221388942,1.0650,4.79843,7.4284e+04,0.476633,1.57359,49.29,0.1417,698.0,55.97,31.323000,2317.00,6117.00,4.496,0.9470
FALSE POSITIVE,16.469837740,0.2920,9.43780,1.0479e+04,0.092509,0.19353,7.94,0.1147,595.0,29.61,14.050000,303.40,5152.00,4.517,0.7860
CONFIRMED,9.273581730,0.3870,3.28750,1.2883e+03,0.032563,1.93557,2.47,0.0759,649.0,41.85,20.650000,87.20,4856.00,4.583,0.6960
CONFIRMED,6.029303290,0.2580,1.58210,1.9127e+03,0.038838,13.09803,2.85,0.0585,678.0,50.04,29.310000,65.40,4537.00,4.648,0.6720
FALSE POSITIVE,2.696370652,0.0440,3.61290,3.9790e+02,0.017673,0.51471,1.58,0.0349,1066.0,305.34,5.827000,48.20,4989.00,4.504,0.8190
CONFIRMED,5.349553819,0.0920,3.02780,8.3100e+02,0.025706,1.73782,2.55,0.0563,919.0,168.99,13.801500,60.60,5185.00,4.440,0.9100
CONFIRMED,3.941052210,0.2260,2.59840,3.6330e+02,0.017105,1.85636,1.70,0.0460,1018.0,253.15,11.510000,28.90,5185.00,4.440,0.9100
CONFIRMED,8.109048070,0.0250,3.59600,2.1740e+02,0.013127,1.53020,1.30,0.0743,800.0,97.03,17.460000,14.10,5185.00,4.440,0.9100
FALSE POSITIVE,386.603052800,0.9765,6.80570,2.4927e+04,0.240528,4.63335,41.50,1.0719,297.0,1.84,332.000000,994.00,5543.00,4.081,1.5800
